Код принадлежности документа,Значение кода документа
10,дипломатический паспорт
20,служебный паспорт
50,паспорт без ламинации (выданный МИД РФ)
51,паспорт с ламинацией (выданный консульством РФ)
61,документы с ламинацией (оформлены через ФМС и имеют срок действия 5 лет)
62,документы с ламинацией (оформлены через ФМС и имеют срок действия 5 лет)
63,документы с ламинацией (оформлены через ФМС и имеют срок действия 5 лет)
64,документы с ламинацией (оформлены через ФМС и имеют срок действия 5 лет)
71,биометрический паспорт нового образца (выдаются ГУВМ России сроком на 10 лет)
72,биометрический паспорт нового образца (выдаются ГУВМ России сроком на 10 лет)
