Порядковый номер в Конституции РФ,Наименование субъекта,Код в серии паспорта РФ
1,Республика Адыгея (Адыгея),79
2,Республика Алтай,84
3,Республика Башкортостан,80
4,Республика Бурятия,81
5,Республика Дагестан,82
6,Донецкая Народная Республика,23
7,Республика Ингушетия,26
8,Кабардино-Балкарская Республика,83
9,Республика Калмыкия,85
10,Карачаево-Черкесская Республика,91
11,Республика Карелия,86
12,Республика Коми,87
13,Республика Крым,35
14,Луганская Народная Республика,31
15,Республика Марий Эл,88
16,Республика Мордовия,89
17,Республика Саха (Якутия),98
18,Республика Северная Осетия — Алания,90
19,Республика Татарстан,92
20,Республика Тыва,93
21,Удмуртская Республика,94
22,Республика Хакасия,95
23,Чеченская Республика,96
24,Чувашская Республика — Чувашия,97
25,Алтайский край,01
26,Забайкальский край,76
27,Камчатский край,30
28,Краснодарский край,03
29,Красноярский край,04
30,Пермский край,57
31,Приморский край,05
32,Ставропольский край,07
33,Хабаровский край,08
34,Амурская область,10
35,Архангельская область,11
36,Астраханская область,12
37,Белгородская область,14
38,Брянская область,15
39,Владимирская область,17
40,Волгоградская область,18
41,Вологодская область,19
42,Воронежская область,20
43,Запорожская область,16
44,Ивановская область,24
45,Иркутская область,25
46,Калининградская область,27
47,Калужская область,29
48,Кемеровская область — Кузбасс,32
49,Кировская область,33
50,Костромская область,34
51,Курганская область,37
52,Курская область,38
53,Ленинградская область,41
54,Липецкая область,42
55,Магаданская область,44
56,Московская область,46
57,Мурманская область,47
58,Нижегородская область,22
59,Новгородская область,49
60,Новосибирская область,50
61,Омская область,52
62,Оренбургская область,53
63,Орловская область,54
64,Пензенская область,56
65,Псковская область,58
66,Ростовская область,60
67,Рязанская область,61
68,Самарская область,36
69,Саратовская область,63
70,Сахалинская область,64
71,Свердловская область,65
72,Смоленская область,66
73,Тамбовская область,68
74,Тверская область,28
75,Томская область,69
76,Тульская область,70
77,Тюменская область,71
78,Ульяновская область,73
79,Херсонская область,21
80,Челябинская область,75
81,Ярославская область,78
82,Москва,45
83,Санкт-Петербург,40
84,Севастополь,67
85,Еврейская автономная область,99
86,Ненецкий автономный округ,55
87,Ханты-Мансийский автономный округ — Югра,67
88,Чукотский автономный округ,77
89,Ямало-Ненецкий автономный округ,74
